Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HaywireGM.AppHost\HaywireGM.AppHost.csproj,File,HaywireGM.AppHost\HaywireGM.AppHost.csproj,,,Aspire.Hosting.PostgreSQL 9.1.0,,,,,"Aspire.Hosting.PostgreSQL, 9.1.0  Recommendation:  Remove Aspire.Hosting.PostgreSQL, and replace with new package Aspire.Hosting.PostgreSQL 13.3.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,HaywireGM.AppHost\HaywireGM.AppHost.csproj,File,HaywireGM.AppHost\HaywireGM.AppHost.csproj,,,Aspire.Hosting.NodeJS 9.5.2,,,,,"Aspire.Hosting.NodeJS, 9.5.2  Recommendation:  This package has been renamed to Aspire.Hosting.JavaScript going forward. Remove Aspire.Hosting.NodeJS, and replace with new package Aspire.Hosting.NodeJS, 9.5.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,HaywireGM.AppHost\HaywireGM.AppHost.csproj,File,HaywireGM.AppHost\HaywireGM.AppHost.csproj,,,Aspire.Hosting.PostgreSQL 9.1.0,,,,,"Aspire.Hosting.PostgreSQL, 9.1.0  Recommendation:  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotent/aspire/support Remove Aspire.Hosting.PostgreSQL, and replace with new package Aspire.Hosting.PostgreSQL, 13.3.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HaywireGM.AppHost\HaywireGM.AppHost.csproj,File,HaywireGM.AppHost\HaywireGM.AppHost.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,File,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,,,Microsoft.Extensions.Logging.Abstractions 10.0.2,,,,,"Microsoft.Extensions.Logging.Abstractions, 10.0.2  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,File,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,,,SpecFlow.Tools.MsBuild.Generation 3.9.74,,,,,"SpecFlow.Tools.MsBuild.Generation, 3.9.74  Recommendation:  Should be replaced. Remove SpecFlow.Tools.MsBuild.Generation, and replace with new package SpecFlow.Tools.MsBuild.Generation, 3.9.74"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,File,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,,,SpecFlow.xUnit 3.9.74,,,,,"SpecFlow.xUnit, 3.9.74  Recommendation:  Should be replaced. Remove SpecFlow.xUnit, and replace with new package SpecFlow.xUnit, 3.9.74"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,File,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,,,xunit 2.9.2,,,,,"xunit, 2.9.2  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,File,HaywireGM.Business.ComponentTests\HaywireGM.Business.ComponentTests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HaywireGM.Business\HaywireGM.Business.csproj,File,HaywireGM.Business\HaywireGM.Business.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HaywireGM.Business\HaywireGM.Business.csproj,File,HaywireGM.Business\AccountLogic.cs,78,8,M:System.Threading.Tasks.Task.WhenAll(System.ReadOnlySpan{System.Threading.Tasks.Task}),,,,,"await Task.WhenAll(campaignsTask, npcsTask, pcsTask, organizationsTask, relationshipsTask);"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,File,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,,,Microsoft.Extensions.Logging.Abstractions 9.0.10,,,,,"Microsoft.Extensions.Logging.Abstractions, 9.0.10  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,File,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,File,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,File,HaywireGM.Business.UnitTests\AccountLogicTests.cs,192,8,T:System.Text.Json.JsonDocument,,,,,var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HaywireGM.Business.UnitTests\HaywireGM.Business.UnitTests.csproj,File,HaywireGM.Business.UnitTests\AccountLogicTests.cs,192,8,T:System.Text.Json.JsonDocument,,,,,var doc = JsonDocument.Parse(json);
